token_id,token,display_token,readable_for_plot,prob_before,prob_after,delta,rank_after
374, is,is,True,0.00018288263527210802,0.7024043798446655,0.7022214972093934,1
38660, adalah,adalah,True,2.043276765562041e-07,8.767919439378602e-07,6.724642673816561e-07,8168
21043,是,是,False,4.0868101791602385e-08,2.9483800290108775e-07,2.5396990110948536e-07,15309
527, are,are,True,4.0806629840517417e-05,0.0018533767433837056,0.0018125701135431882,22
39015, là,là,True,1.8604245610731596e-07,8.905994377528259e-07,7.0455698164551e-07,8106
15682,は,は,False,1.871078048054642e-08,1.7298812338140124e-07,1.5427734290085482e-07,19498
112213,是在,是在,False,1.813511119053146e-08,3.95201112723953e-07,3.770660015334215e-07,13083
55951, 是,是,False,6.844119582183339e-08,5.840693688696774e-07,5.15628173047844e-07,10512
106947,的是,的是,False,9.611257345554236e-10,1.0592062782421863e-09,9.808054368676267e-11,100671
126957,是不,是不,False,9.408370971186741e-09,5.7156956501103195e-08,4.7748585529916454e-08,29221
