token_id,token,display_token,readable_for_plot,prob_before,prob_after,delta,rank_after
2500, another,another,True,7.38912567612715e-05,0.26236701011657715,0.2622931188598159,1
43063,another,another,True,4.488482829856366e-08,3.446690607233904e-05,3.442202124404048e-05,546
103294, 또,또,False,3.571015039227632e-09,2.845416986474447e-07,2.809706836082171e-07,15379
1578, again,again,True,9.17660327104386e-06,0.0455925427377224,0.04558336613445135,5
47984,ipeg,ipeg,True,3.024316352906453e-10,1.2554569366329815e-06,1.2551545049976909e-06,6397
5217, additional,additional,True,5.971329755993793e-06,0.0015600911574438214,0.0015541198276878276,43
2373, version,version,True,2.2186179194250144e-05,0.0017678148578852415,0.0017456286786909914,38
102695, thêm,thêm,True,4.880999160405963e-09,2.845416986474447e-07,2.7966069948703876e-07,15363
11028, versions,versions,True,5.833003797306446e-06,0.00037055413122288883,0.0003647211274255824,102
36599,additional,additional,True,4.730826397292276e-09,2.2733386231266195e-06,2.2686077967293272e-06,4363
