token_id,token,display_token,readable_for_plot,prob_before,prob_after,delta,rank_after
4423, someone,someone,True,0.000156427820911631,0.10007904469966888,0.09992261687875725,2
18570, somebody,somebody,True,2.400883658992825e-06,0.0007883684593252838,0.0007859675756662909,51
5606, anyone,anyone,True,0.0007233148207888007,0.10653358697891235,0.10581027215812355,1
94192, Somebody,Somebody,True,3.1400608691001253e-07,3.0094444809947163e-05,2.978043872303715e-05,1246
33634, Anyone,Anyone,True,1.7259171727346256e-06,8.053691271925345e-05,7.881099554651882e-05,483
21739, anybody,anybody,True,8.225853889598511e-06,0.0006957327132113278,0.0006875068593217293,61
116252, Kaynak,Kaynak,True,7.55983897704482e-09,1.5393894159387855e-08,7.834055182343036e-09,62651
35272, Someone,Someone,True,7.711245189057081e-07,0.00011357525363564491,0.0001128041291167392,309
104,�,�,False,7.327247253385849e-09,4.119619489983961e-08,3.386894764645376e-08,44474
41795,Anyone,Anyone,True,2.328594383982363e-08,1.0257605254082591e-06,1.0024745815684355e-06,17265
