feature_idx,C_score,C_mean_pos,C_mean_neg,C_entropy,Q_score,Q_mean_pos,Q_mean_neg,Q_entropy,output_output_score,output_prob,output_rank,output_steering_scale,output_top_token_ids,output_top_tokens,output_prompt
75746,-6.649764145549852e-06,0.0,0.0043626478873193,-0.0,2.6083032935275696e-05,0.0266622137278318,0.0043524866923689,0.5336554050445557,0.9786671387661852,0.9786747694015504,1.0,30.0,"[374, 38660, 21043, 527, 39015, 15682, 112213, 55951, 106947, 126957]","[' is', ' adalah', '是', ' are', ' là', 'は', '是在', ' 是', '的是', '是不']","In my experience,"
76227,0.0061288666911423,0.9541667103767396,0.0014182209270074,0.2238938063383102,0.0002817302884068,0.5239863395690918,0.0011885152198374,0.2353364527225494,0.8472145899936014,0.8472211956977844,1.0,38.4375,"[499, 584, 81096, 358, 577, 1289, 42983, 94707, 15334, 1431]","[' you', ' we', 'iglia', ' I', ' u', 'opy', ' perch', 'otch', ' YOU', '’t']","In my experience,"
106930,-3.084815762122162e-05,0.0,0.020238259807229,-0.0,5.906622391194105e-05,0.054737813770771,0.0202224291861057,0.7141605615615845,0.3339894300922956,0.3339920341968536,1.0,48.75,"[2500, 43063, 103294, 1578, 47984, 5217, 2373, 102695, 11028, 36599]","[' another', 'another', ' 또', ' again', 'ipeg', ' additional', ' version', ' thêm', ' versions', 'additional']","In my experience,"
53386,-1.2501301171141677e-05,0.0,0.0082016102969646,-0.0,0.0016499290941283,0.9430002570152284,0.0077770412899553,0.7663982510566711,0.2503148324145357,0.2503187358379364,2.0,37.3125,"[1587, 656, 1550, 12838, 28156, 23770, 22186, 7131, 14910, 527]","[' does', ' do', ' did', ' Does', 'does', 'did', 'Does', 'Did', ' Did', ' are']","In my experience,"
94236,-1.996202399823233e-06,0.0,0.0013096296461299,-0.0,4.960274964105338e-05,0.1268433481454849,0.001252612681128,0.1766164302825927,0.1967506714325775,0.1967522054910659,1.0,27.75,"[3169, 13124, 15674, 3460, 119938, 4595, 9481, 955, 3392, 63797]","[' kind', ' kinds', 'kind', ' sort', '样的', ' types', ' KIND', ' type', ' amount', '(kind']","In my experience,"
80249,0.0006688875728286,0.1906250119209289,0.0002444672281853,0.1223342716693878,8.476967923343182e-05,0.0967574417591095,0.0002021579275606,0.3824054598808288,0.1751378881679978,0.1751406192779541,2.0,24.375,"[4423, 18570, 5606, 94192, 33634, 21739, 116252, 35272, 104, 41795]","[' someone', ' somebody', ' anyone', ' Somebody', ' Anyone', ' anybody', ' Kaynak', ' Someone', '�', 'Anyone']","In my experience,"
56394,-1.441087306375266e-06,0.0390625037252903,0.000945440493524,-0.0,5.212651012698189e-05,0.0474833473563194,0.0009246110566891,0.4903363287448883,0.172526932517838,0.1725296229124069,2.0,23.4375,"[1070, 5606, 904, 21739, 51426, 3596, 42983, 2684, 5884, 33634]","[' there', ' anyone', ' any', ' anybody', '/how', ' ever', ' perch', ' There', ' Any', ' Anyone']","In my experience,"
99368,-3.538084638421424e-05,0.1106770858168602,0.0232119783759117,-0.0,2.585843685665168e-05,0.0530911497771739,0.0231991093605756,0.5014466047286987,0.1721735881407282,0.1721749305725097,1.0,56.25,"[3025, 112916, 22225, 51629, 17354, 107024, 7284, 87814, 111176, 65288]","[' able', 'lant', ' surely', 'ibal', ' somehow', '伯', 'plus', ' Barg', 'phylum', ' Surely']","In my experience,"
1862,0.0069915917702019,1.0572917461395264,0.0009490365046076,0.2304645180702209,0.0006879714201204,0.6675982475280762,0.0006547279190272,0.4488249719142914,0.027087512704046,0.0270887799561023,6.0,36.0,"[5606, 4423, 21739, 25136, 33634, 51426, 89419, 84729, 41795, 18570]","[' anyone', ' someone', ' anybody', '679', ' Anyone', '/how', ' alguien', 'locs', 'Anyone', ' somebody']","In my experience,"
111894,0.0021904986351728,0.5196614861488342,0.4514501690864563,0.1930176615715026,0.0004782393225468,0.614813506603241,0.4513768553733825,0.8249040842056274,0.00887687009151,0.0088769393041729,1.0,834.0,"[7051, 19929, 90578, 13851, 1981, 58204, 38241, 27083, 93638, 5636]","['irit', '369', '…\n', '::_', '…', '::.', ' aka', ' alike', ' Curso', ' plus']","In my experience,"
